Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,12962,294491837,.00440148
4DS MEMORY LIMITED ORDINARY,4DS,758113,1632543220,.04643755
5EADVANCED CDI 10:1,5EA,932092,285549210,.32642079
29METALSLIMITED ORDINARY,29M,21437846,482052092,4.44720526
88 ENERGY LTD ORDINARY,88E,10819141,20107868225,.05380551
92ENERGY ORDINARY,92E,665236,86648696,.76773919
A-CAP ENERGY LTD ORDINARY,ACB,789974,1232435086,.06409863
A2B AUSTRALIA LTD ORDINARY,A2B,810630,121230683,.66866735
ABACUS PROPERTY GRP. FPO/UNITS STAPLED,ABP,2066776,893657633,.23127157
ACCENT GROUP LTD ORDINARY,AX1,3478633,552459958,.62966247
ACTINOGEN MEDICAL ORDINARY,ACW,1412520,1816252150,.07777114
ADAIRS LIMITED ORDINARY,ADH,2694330,172146192,1.56514063
ADBRI LIMITED ORDINARY,ABC,11919014,652627555,1.82631179
ADORE BEAUTY ORDINARY,ABY,1592597,94124497,1.69201117
ADRIATIC METALS CDI 1:1,ADT,1309316,222352224,.58884772
ADVANCED HEALTH ORDINARY,AHI,35608,196053969,.01816235
AERIS RESOURCES LTD ORDINARY,AIS,6255190,690945595,.90530862
AGL ENERGY LIMITED. ORDINARY,AGL,7720353,672747233,1.14758599
AIC MINES LTD ORDINARY,A1M,45676,462224392,.00988178
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,736340,3368464315,.02185981
AIRTASKER LIMITED ORDINARY,ART,250879,449561794,.05580523
ALCIDION GROUP LTD ORDINARY,ALC,1722093,1268069053,.13580436
ALKANE RESOURCES LTD ORDINARY,ALK,822562,598792592,.1373701
ALLIANCE AVIATION ORDINARY,AQZ,88212,160734697,.0548805
ALLIGATOR ENERGY ORDINARY,AGE,43526148,3304550761,1.3171578
ALLKEM LIMITED ORDINARY,AKE,14725462,637658086,2.30930374
ALPHA HPA LTD ORDINARY,A4N,1201149,857731079,.14003795
ALS LTD ORDINARY,ALQ,1748427,484167684,.36112014
ALTERITY THERAP LTD ORDINARY,ATH,88666,2439897618,.003634
ALTHEA GROUP ORDINARY,AGH,51388,374044301,.01373848
ALTIUM LIMITED ORDINARY,ALU,1004919,131647099,.76334306
ALUMINA LIMITED ORDINARY,AWC,161507338,2901681417,5.5659914
AMA GROUP LIMITED ORDINARY,AMA,77194727,1073070217,7.1938188
AMCIL LIMITED ORDINARY,AMH,194,311887213,.0000622
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,9667438,652974898,1.48052215
AMP LIMITED ORDINARY,AMP,60036600,2965271749,2.02465761
AMPOL LIMITED ORDINARY,ALD,878441,238302099,.36862495
ANDROMEDA METALS LTD ORDINARY,ADN,18988614,3110008432,.61056471
ANSARADA GROUP LTD ORDINARY,AND,5,89335568,.0000056
ANSELL LIMITED ORDINARY,ANN,2990084,127168118,2.35128431
ANSON RESOURCES LTD ORDINARY,ASN,23565064,1221377704,1.92938384
ANTEOTECH LTD ORDINARY,ADO,646768,2049938526,.0315506
ANTIPA MINERALS LTD ORDINARY,AZY,2959745,3593040870,.08237438
ANZ GROUP HOLDINGS ORDINARY,ANZ,15772746,3003366782,.52516882
APA GROUP UNITS STAPLED,APA,3838564,1179893848,.3253313
