company_name,address,summary,details,website,stock_code
1414 DEGREES LIMITED,"136 Daws Road, MELROSE PARK, SA, AUSTRALIA, 5039","Commercialising energy storage technology, thermal energy storage system providing a low cost solution to intermittent energy supply and recovering electricity through a turbine on demand.","Commercialising energy storage technology, thermal energy storage system providing a low cost solution to intermittent energy supply and recovering electricity through a turbine on demand.",http://www.1414degrees.com.au,14D
ADALTA LIMITED,"Unit 15, 2 Park Drive, BUNDOORA, VIC, AUSTRALIA, 3083",Drug discovery and development,Drug discovery and development,http://www.adalta.com.au,1AD
AURORA ENERGY METALS LIMITED,"Suite 1, 245 Churchill Ave, SUBIACO, WA, AUSTRALIA, 6008",Mineral exploration and development,Mineral exploration and development,https://auroraenergymetals.com/,1AE
ALTERRA LIMITED,"Level 3, 150 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000","Alterra is an originator, developer and manager of agricultural land and water assets in Australia.","Alterra is an originator, developer and manager of agricultural land and water assets in Australia.",http://www.alterra.com.au,1AG
ALGORAE PHARMACEUTICALS LIMITED,"Level 23, 525 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",Pharmaceutical development,Pharmaceutical development,https://algoraepharma.com/,1AI
ONE CLICK GROUP LIMITED,"Suite 5 CPC, 145 Stirling Highway, NEDLANDS, WA, AUSTRALIA, 6009",Financial technology.,Financial technology.,https://oneclickgroup.com.au/,1CG
MORELLA CORPORATION LIMITED,"Suite 5,, 680 Murray Street, WEST PERTH, WA, AUSTRALIA, 6005","Mining, processing and sale of lithium ore.","Mining, processing and sale of lithium ore.",http://www.morellacorp.com,1MC
THRIVE TRIBE TECHNOLOGIES LIMITED,"Level 57, MLC Centre, 19-29 Martin Place, SYDNEY, NSW, AUSTRALIA, 2000","Providing customers with a cloud based Saas App that enables them to communicate with their employees in a mobile, innovative, collaborative and effective manner","Providing customers with a cloud based Saas App that enables them to communicate with their employees in a mobile, innovative, collaborative and effective manner",http://www.thrivetribetech.com,1TT
29METALS LIMITED,"Level 2,150 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000","Mineral exploration, development, and production","Mineral exploration, development, and production",https://www.29metals.com/,29M
LIFE360 INC.,"Suite 310, 1900 S. Norfolk Street, SAN MATEO, CA, UNITED STATES OF AMERICA, 94403",Providing a location-based services application for consumers globally to track their contacts and an integrated driver-protect service that contacts emergency services.,Providing a location-based services application for consumers globally to track their contacts and an integrated driver-protect service that contacts emergency services.,http://www.life360.com,360
AMAERO INTERNATIONAL LTD,"Acclime Australia, Level 7, 330 Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000",Additive Manufacturing,Additive Manufacturing,http://www.amaero.com.au/,3DA
POINTERRA LIMITED,"Level 4, 216 St Georges Terrace, PERTH, WA, AUSTRALIA, 6000","Pointerra is an ASX-listed company with a patented cloud-based digital twin platform, Pointerra3D, which is a true end-to-end solution that stores, processes, manages, analyzes, extracts, visualizes and shares the key insights from massive 3D data at a ne","Pointerra is an ASX-listed company with a patented cloud-based digital twin platform, Pointerra3D, which is a true end-to-end solution that stores, processes, manages, analyzes, extracts, visualizes and shares the key insights from massive 3D data at a ne",http://www.pointerra.com,3DP
3P LEARNING LIMITED..,"655 Parramatta Road, LEICHHARDT, NSW, AUSTRALIA, 2040","Information technology, software & services.","Information technology, software & services.",http://www.3plearning.com,3PL
4DS MEMORY LIMITED,"Level 2, 50 Kings Park Road, WEST PERTH, WA, AUSTRALIA, 6005",Creation of electronic memory storage.,Creation of electronic memory storage.,http://www.4dsmemory.com,4DS
4DMEDICAL LIMITED,"Level 7, 700 Swanston Street, CARLTON, VIC, AUSTRALIA, 3053",Medical imaging software and hardware provider,Medical imaging software and hardware provider,https://4dmedical.com/,4DX
5E ADVANCED MATERIALS INC.,"9329 Mariposa Road, Ste 210, HESPERIA, CA, UNITED STATES OF AMERICA, 92344",A minerals exploration and production company focused on the development of its 100% owned Fort Cady Borate Project.,A minerals exploration and production company focused on the development of its 100% owned Fort Cady Borate Project.,https://5eadvancedmaterials.com/,5EA
PENTANET LIMITED,"2/8 Corbusier Place, BALCATTA, WA, AUSTRALIA, 6021",Telecommunications and internet services provider,Telecommunications and internet services provider,https://pentanet.com.au/,5GG
5G NETWORKS LIMITED.,"Level 7, 505 Little Collins Street, MELBOURNE, VIC, AUSTRALIA, 3000","5GN is an Australian owned digital services company who empower more than 2.500 corporate clients to grow and thrive online. Our portfolio of digital services is extensive, with market leading offers across Cloud, Data networks, Data centre, managed IT se","5GN is an Australian owned digital services company who empower more than 2.500 corporate clients to grow and thrive online. Our portfolio of digital services is extensive, with market leading offers across Cloud, Data networks, Data centre, managed IT se",https://www.5gnetworks.au,5GN
88 ENERGY LIMITED,"Ground Floor, 516 Hay Street, SUBIACO, WA, AUSTRALIA, 6008",Oil and Gas Exploration.,Oil and Gas Exploration.,http://www.88energy.com,88E
8COMMON LIMITED,"Walker Wayland NSW Chartered Accountants, Suite 1, Level 11, 60 Castlereagh Street, SYDNEY, NSW, AUSTRALIA, 2000",The development and distribution of two established software solutions.,The development and distribution of two established software solutions.,http://www.8common.com,8CO
8I HOLDINGS LTD,"C/- SmallCap Corporate Pty Ltd, Suite 6, 295 Rokeby Rd, SUBIACO, WA, AUSTRALIA, 6008",Investment Business and Financial Education.,Investment Business and Financial Education.,http://8iholdings.com/,8IH
8VI HOLDINGS LIMITED,"Goldbell Towers, 47 Scotts Road, #03-03/, SINGAPORE, ., SINGAPORE, 228233",Financial education and Fintech,Financial education and Fintech,https://www.8viholdings.com,8VI
92 ENERGY LIMITED,"Level 3, 16 Milligan Street, PERTH, WA, AUSTRALIA, 6000",Mineral exploration and development,Mineral exploration and development,https://www.92energy.com/,92E
