Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,501527,410531163,.12216539
4DS MEMORY LIMITED ORDINARY,4DS,1103710,1763434918,.06258864
5EADVANCED CDI 10:1,5EA,51279,333074890,.01539564
29METALSLIMITED ORDINARY,29M,28916917,702074024,4.11878463
88 ENERGY LTD ORDINARY,88E,6580151,28933811952,.02274208
ABACUS GROUP FPO/UNITS STAPLED,ABG,2293974,893657633,.25669495
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,1068435,1314102962,.08130527
ACCENT GROUP LTD ORDINARY,AX1,10659481,565998979,1.88330393
ACROW LIMITED ORDINARY,ACF,29436,304856963,.00965568
ADAIRS LIMITED ORDINARY,ADH,1657879,175833299,.94286976
ADORE BEAUTY ORDINARY,ABY,334330,93957928,.35582947
ADRIATIC METALS CDI 1:1,ADT,23646183,278062106,8.50392142
ADVANCED HEALTH ORDINARY,AHI,20052,275606341,.00727559
AERIS RESOURCES LTD ORDINARY,AIS,15793392,967525540,1.63234885
AFRICAN GOLD LTD. ORDINARY,A1G,1329,358959520,.00037024
AGL ENERGY LIMITED. ORDINARY,AGL,21528259,672747233,3.20005166
AI-MEDIA TECHNOLOGIE ORDINARY,AIM,41213,208814047,.0197367
AINSWORTH GAME TECH. ORDINARY,AGI,204252,336793929,.06064599
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,3222231,3368464315,.09565875
ALCOA CORPORATION CDI 1:1 FOR. EXEMPT,AAI,601000,59235145,1.01460037
ALKANE RESOURCES LTD ORDINARY,ALK,4027205,605060955,.66558666
ALLIANCE AVIATION ORDINARY,AQZ,8620,160751712,.00536231
ALLIGATOR ENERGY ORDINARY,AGE,20975671,3873599345,.54150337
ALPHA HPA LTD ORDINARY,A4N,25152689,1134580693,2.21691495
ALS LTD ORDINARY,ALQ,9951827,484572851,2.05373185
ALTERITY THERAP LTD ORDINARY,ATH,1628842,5320336118,.0306154
AMA GROUP LIMITED ORDINARY,AMA,22094393,4782595517,.46197494
AMAERO INTERNATIONAL ORDINARY,3DA,1335306,615017512,.21711674
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,7764691,600190738,1.2937039
AMERICAN RARE EARTHS ORDINARY,ARR,1050818,498423299,.21082843
AMERICANWESTMETALS ORDINARY,AW1,16536,595075858,.00277881
AMOTIV ORDINARY,AOV,2502763,140894696,1.77633585
AMP LIMITED ORDINARY,AMP,40508665,2531739839,1.60003269
AMPOL LIMITED ORDINARY,ALD,12865869,238302099,5.39897427
ANSELL LIMITED ORDINARY,ANN,2278456,145943984,1.56118528
ANSON RESOURCES LTD ORDINARY,ASN,6270317,1384653206,.45284386
ANTIPA MINERALS LTD ORDINARY,AZY,5134,4836565135,.00010615
ANZ GROUP HOLDINGS ORDINARY,ANZ,16560333,2978250555,.5560423
APA GROUP UNITS STAPLED,APA,31677092,1294951714,2.4461987
ARAFURA RARE EARTHS ORDINARY,ARU,85695920,2464328691,3.47745495
ARB CORPORATION. ORDINARY,ARB,3157053,83001171,3.80362465
ARCADIUM LITHIUM PLC CDI1:1FOREXEMPT NYSE,LTM,4693451,292937535,1.60220198
ARCHER MATERIALS ORDINARY,AXE,187326,254847013,.07350528
ARENA REIT. FPO/UNITS STAPLED,ARF,1082630,397361446,.27245472
ARGO INVESTMENTS ORDINARY,ARG,26308,764097326,.00344302
ARGOSY MINERALS LTD ORDINARY,AGY,8146538,1455920934,.55954536
ARISTOCRAT LEISURE ORDINARY,ALL,1691279,629381749,.26872069
