Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DMEDICAL LIMITED ORDINARY,4DX,55069,294491837,.01869967
4DS MEMORY LIMITED ORDINARY,4DS,415748,1479765442,.02809553
5EADVANCED CDI 10:1,5EA,1041120,286188610,.36378806
29METALSLIMITED ORDINARY,29M,21686943,481329528,4.5056332
88 ENERGY LTD ORDINARY,88E,21493265,18265762962,.11766968
92ENERGY ORDINARY,92E,5712566,81878696,6.9768649
A-CAP ENERGY LTD ORDINARY,ACB,572346,1232435086,.04644026
A2B AUSTRALIA LTD ORDINARY,A2B,985933,121230683,.81327019
ABACUS PROPERTY GRP. FPO/UNITS STAPLED,ABP,4273392,893657633,.47819118
ACCENT GROUP LTD ORDINARY,AX1,3062342,541866715,.56514673
ACTINOGEN MEDICAL ORDINARY,ACW,1152015,1795893817,.06414717
ADAIRS LIMITED ORDINARY,ADH,9089064,171316433,5.30542449
ADBRI LIMITED ORDINARY,ABC,13012731,652627555,1.9938985
ADORE BEAUTY ORDINARY,ABY,3085125,94124497,3.27770676
ADRIATIC METALS CDI 1:1,ADT,980503,213898254,.45839692
ADV HUMAN IMAG LTD ORDINARY,AHI,44612,168249382,.0265154
AERIS RESOURCES LTD DEFERRED SETTLEMENT,AISDB,2,690945286,.00000029
AERIS RESOURCES LTD ORDINARY,AIS,6417066,690945595,.9287368
AGL ENERGY LIMITED. ORDINARY,AGL,13933884,672747233,2.07119157
AIC MINES LTD ORDINARY,A1M,38690,312483091,.01238147
AIRTASKER LIMITED ORDINARY,ART,406318,449400386,.09041336
AJ LUCAS GROUP ORDINARY,AJL,719595,1196286635,.06015239
ALCIDION GROUP LTD ORDINARY,ALC,1850543,1268069053,.14593393
ALKANE RESOURCES LTD ORDINARY,ALK,712902,596079260,.11959852
ALLIANCE AVIATION ORDINARY,AQZ,150499,160734697,.09363193
ALLIGATOR ENERGY ORDINARY,AGE,65409423,3302713385,1.98047531
ALLKEM LIMITED ORDINARY,AKE,4841823,637658086,.75931335
ALPHA HPA LTD ORDINARY,A4N,4057582,812236624,.49955664
ALS LTD ORDINARY,ALQ,1415142,484167684,.29228345
ALTHEA GROUP ORDINARY,AGH,75438,321247858,.0234828
