Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
4DS MEMORY LIMITED ORDINARY,4DS,2435606,2060898718,.11818174
29METALSLIMITED ORDINARY,29M,8294989,1372336435,.60444282
88 ENERGY LTD ORDINARY,88E,263206,1157350417,.02274212
ABACUS GROUP FPO/UNITS STAPLED,ABG,3076964,893657633,.34431128
ABACUS STORAGE KING FPO/UNITS STAPLED,ASK,7497578,1314102962,.57054723
ACCENT GROUP LTD ORDINARY,AX1,17577095,601185674,2.92373817
ACROW LIMITED ORDINARY,ACF,428926,310692512,.13805482
ACTIVEPORTGROUPLTD ORDINARY,ATV,1690933,1010810354,.16728489
ADAIRS LIMITED ORDINARY,ADH,4029479,177337058,2.27221487
ADORE BEAUTY ORDINARY,ABY,2164,93957928,.00230316
ADVANCED HEALTH ORDINARY,AHI,1000,280582265,.0003564
AERIS RESOURCES LTD ORDINARY,AIS,20743059,1149199948,1.80499999
AFRICAN GOLD LTD. ORDINARY,A1G,106961,533227972,.02005915
AGL ENERGY LIMITED. ORDINARY,AGL,23014094,672747233,3.42091247
AI-MEDIA TECHNOLOGIE ORDINARY,AIM,404658,208814047,.19378869
AIC MINES LTD ORDINARY,A1M,1017756,797619821,.12759914
AINSWORTH GAME TECH. ORDINARY,AGI,5874,336793929,.00174409
AIR NEW ZEALAND ORD FOR. EXEMPT NZX,AIZ,226102,3240086564,.00697827
AIRTASKER LIMITED ORDINARY,ART,566,455071936,.00012438
ALCIDION GROUP LTD ORDINARY,ALC,879285,1342952696,.06547401
ALCOA CORPORATION CDI 1:1 FOR. EXEMPT,AAI,286137,55279222,.51762125
ALKANE RESOURCES LTD ORDINARY,ALK,5896449,1365794967,.43172285
ALLIANCE AVIATION ORDINARY,AQZ,62221,161027077,.03864009
ALLIGATOR ENERGY ORDINARY,AGE,51870307,4437034145,1.16903105
ALPHA HPA LTD ORDINARY,A4N,35891601,1137271758,3.15593883
ALS LTD ORDINARY,ALQ,3943558,507199638,.77751593
ALTERITY THERAP LTD ORDINARY,ATH,18406641,10875416329,.16924999
AMA GROUP LIMITED DEFERRED SETTLEMENT,AMADA,35041,478572052,.00732199
AMAERO LTD ORDINARY,3DA,746597,933184825,.08000527
AMCOR PLC CDI1:1FOREXEMPT NYSE,AMC,12695979,686718904,1.84878834
AMERICAN RARE EARTHS ORDINARY,ARR,509071,573107799,.0888264
AMERICANWESTMETALS ORDINARY,AW1,4532,998181174,.00045403
AML3D ORDINARY,AL3,90803,552528577,.01643408
AMOTIV ORDINARY,AOV,2997280,133849962,2.23928341
AMP LIMITED ORDINARY,AMP,21040859,2531739839,.83108298
AMPLIA THERAPEUTICS ORDINARY,ATX,26729,513071629,.0052096
AMPLITUDE ENERGY ORDINARY,AEL,25503565,3277289593,.77819077
AMPOL LIMITED ORDINARY,ALD,3487167,238302099,1.46333877
ANDEAN SILVER ORDINARY,ASL,748234,190474456,.39282643
ANSELL LIMITED ORDINARY,ANN,3913732,144578692,2.70699088
ANSON RESOURCES LTD ORDINARY,ASN,142331,1443523345,.00985997
ANTIPA MINERALS LTD ORDINARY,AZY,38311,658886132,.00581451
ANZ GROUP HOLDINGS ORDINARY,ANZ,21803988,2983520180,.73081416
APA GROUP UNITS STAPLED,APA,26653294,1315181016,2.02658749
APPEN LIMITED ORDINARY,APX,7776353,265610639,2.92772648
ARAFURA RARE EARTHS ORDINARY,ARU,121142256,3377693994,3.58653733
ARB CORPORATION. ORDINARY,ARB,4627137,83455453,5.54443938
ARCHER MATERIALS ORDINARY,AXE,27335,254847013,.01072604
ARDEA RESOURCES LTD ORDINARY,ARL,3806,210412915,.00180882
ARENA REIT. FPO/UNITS STAPLED,ARF,745450,403504047,.18474412
ARGENT MINERALS ORDINARY,ARD,488402,1677378046,.02911699
ARGOSY MINERALS LTD ORDINARY,AGY,2767372,1535920934,.18017672
ARISTOCRAT LEISURE ORDINARY,ALL,1038411,616871882,.16833495
ARN MEDIA LIMITED ORDINARY,A1N,2681834,313050373,.8566781
AROA BIOSURGERY ORDINARY,ARX,541855,345033235,.15704429
AROVELLA THERAPEUTIC ORDINARY,ALA,418876,1198641505,.03494589
ARROW MINERALS ORDINARY,AMD,127793,877766591,.01455888
ARTICORE GROUP LTD ORDINARY,ATG,68653,293868877,.02336178
ARTRYALIMITED ORDINARY,AYA,102509,158084017,.06484463
ASPEN GROUP FPO/UNITS STAPLED,APZ,199196,227665433,.08749506
ASTRAL RESOURCES NL ORDINARY,AAR,3204434,1474405445,.21733737
ASX LIMITED ORDINARY,ASX,4371206,194299425,2.24972668
ATLAS ARTERIA FPOSTUSPROHEXCLQIBQP,ALX,23996449,1450833707,1.65397653
AU CLINICAL LABS ORDINARY,ACL,5768440,195791386,2.94621746
AUB GROUP LTD ORDINARY,AUB,828690,116587434,.71078844
AUCKLAND INTERNATION ORD FOR.EXEMPT NZX,AIA,11737217,1694973503,.692472
AUDINATEGROUPLTD ORDINARY,AD8,3121139,84328558,3.70116491
AURA ENERGY ORDINARY,AEE,9517020,896733047,1.06129913
AURELIA METALS LTD ORDINARY,AMI,1,1692572640,.00000006
AURIC MINING ORDINARY,AWJ,1869,186981102,.00099957
AURIZON HOLDINGS LTD ORDINARY,AZJ,36434221,1750443988,2.08142741
AUSGOLD LIMITED ORDINARY,AUC,1743921,433476833,.40231008
AUSGOV TREASURY BOND TB 0.50% 09-26 6M,GSBQ26,29000,394000000,.00736041
AUSGOV TREASURY BOND TB 1.25% 05-32 6M,GSBI32,309440,425000000,.07280941
AUSGOV TREASURY BOND TB 2.25% 05-28 6M,GSBI28,97640,379000000,.02576253
AUSGOV TREASURY BOND TB 2.50% 05-30 6M,GSBI30,112700,410000000,.0274878
AUSGOV TREASURY BOND TB 2.75% 06-35 6M,GSBK35,66200,298500000,.02217755
AUSGOV TREASURY BOND TB 2.75% 11-27 6M,GSBU27,26880,360000000,.00746667
AUSGOV TREASURY BOND TB 2.75% 11-29 6M,GSBU29,168520,438000000,.03847489
AUSGOV TREASURY BOND TB 3.00% 03-47 6M,GSBE47,82120,142000000,.05783099
AUSGOV TREASURY BOND TB 3.00% 11-33 6M,GSBU33,14510,282000000,.00514539
AUSGOV TREASURY BOND TB 3.25% 06-39 6M,GSBK39,98770,112000000,.0881875
AUSGOV TREASURY BOND TB 3.50% 12-34 6M,GSBW34,67550,292000000,.02313356
AUSGOV TREASURY BOND TB 3.75% 04-37 6M,GSBG37,130000,204000000,.06372549
AUSSIE BROADBAND ORDINARY,ABB,3312398,292576043,1.13214943
AUSSTRATMATERIALS ORDINARY,ASM,74577,268042203,.02782286
AUST FINANCE GRP ORDINARY,AFG,7894,271760063,.00290477
AUST VANADIUM LTD ORDINARY,AVL,2159672,8662968506,.02492993
AUSTAL LIMITED ORDINARY,ASB,3852308,422050221,.91276057
AUSTIN ENGINEERING ORDINARY,ANG,89833,627084223,.01432551
AUSTRAL GOLD ORDINARY,AGD,32483,612311353,.00530498
