DATAFLOW,MEASURE: Measure,SECTOR: Sector of Ownership,WORK_TYPE: Type of work,BUILDING_TYPE: Type of building,REGION_TYPE: Region Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:BA_LGA2025(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,110: Houses,LGA2025: Local Government Areas (2025),24700: Merri-bek,M: Monthly,2026-06,27,NUM: Number,0: Units,,
ABS:BA_LGA2025(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,110: Houses,LGA2025: Local Government Areas (2025),10050: Albury,M: Monthly,2026-06,36,NUM: Number,0: Units,,
ABS:BA_LGA2025(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,100: Total Residential,LGA2025: Local Government Areas (2025),29799: Migratory - Offshore - Shipping (Vic.),M: Monthly,2026-06,0,NUM: Number,0: Units,,
ABS:BA_LGA2025(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,100: Total Residential,LGA2025: Local Government Areas (2025),24700: Merri-bek,M: Monthly,2026-06,86,NUM: Number,0: Units,,
ABS:BA_LGA2025(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,110: Houses,LGA2025: Local Government Areas (2025),20910: Bayside (Vic.),M: Monthly,2026-06,24,NUM: Number,0: Units,,
ABS:BA_LGA2025(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,110: Houses,LGA2025: Local Government Areas (2025),71500: East Arnhem,M: Monthly,2026-06,0,NUM: Number,0: Units,,
ABS:BA_LGA2025(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,100: Total Residential,LGA2025: Local Government Areas (2025),71500: East Arnhem,M: Monthly,2026-06,4,NUM: Number,0: Units,,
ABS:BA_LGA2025(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,110: Houses,LGA2025: Local Government Areas (2025),71700: Groote Archipelago,M: Monthly,2026-06,0,NUM: Number,0: Units,,
ABS:BA_LGA2025(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,100: Total Residential,LGA2025: Local Government Areas (2025),71700: Groote Archipelago,M: Monthly,2026-06,0,NUM: Number,0: Units,,
ABS:BA_LGA2025(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,100: Total Residential,LGA2025: Local Government Areas (2025),20910: Bayside (Vic.),M: Monthly,2026-06,32,NUM: Number,0: Units,,
ABS:BA_LGA2025(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,110: Houses,LGA2025: Local Government Areas (2025),29799: Migratory - Offshore - Shipping (Vic.),M: Monthly,2026-06,0,NUM: Number,0: Units,,
ABS:BA_LGA2025(1.0.0),1: Number of dwelling units,9: Total Sectors,TOT: Total Work,100: Total Residential,LGA2025: Local Government Areas (2025),10050: Albury,M: Monthly,2026-06,38,NUM: Number,0: Units,,
