DATAFLOW,POP_COMP: Population Component,REGION_TYPE: Region Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ERP_COMP_LGA2025(1.0.0),9: Net Overseas Migration,LGA2025: Local Government Areas (2025),71700: Groote Archipelago,A: Annual,2024,4,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),9: Net Overseas Migration,LGA2025: Local Government Areas (2025),71700: Groote Archipelago,A: Annual,2025,4,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),6: Net Internal Migration,LGA2025: Local Government Areas (2025),20910: Bayside (Vic.),A: Annual,2024,-117,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),6: Net Internal Migration,LGA2025: Local Government Areas (2025),20910: Bayside (Vic.),A: Annual,2025,214,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),9: Net Overseas Migration,LGA2025: Local Government Areas (2025),10050: Albury,A: Annual,2024,324,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),9: Net Overseas Migration,LGA2025: Local Government Areas (2025),10050: Albury,A: Annual,2025,234,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),3: Natural Increase,LGA2025: Local Government Areas (2025),10050: Albury,A: Annual,2024,255,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),3: Natural Increase,LGA2025: Local Government Areas (2025),10050: Albury,A: Annual,2025,201,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),9: Net Overseas Migration,LGA2025: Local Government Areas (2025),71500: East Arnhem,A: Annual,2024,13,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),9: Net Overseas Migration,LGA2025: Local Government Areas (2025),71500: East Arnhem,A: Annual,2025,13,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),3: Natural Increase,LGA2025: Local Government Areas (2025),71500: East Arnhem,A: Annual,2024,85,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),3: Natural Increase,LGA2025: Local Government Areas (2025),71500: East Arnhem,A: Annual,2025,82,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),9: Net Overseas Migration,LGA2025: Local Government Areas (2025),20910: Bayside (Vic.),A: Annual,2024,1909,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),9: Net Overseas Migration,LGA2025: Local Government Areas (2025),20910: Bayside (Vic.),A: Annual,2025,1182,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),3: Natural Increase,LGA2025: Local Government Areas (2025),71700: Groote Archipelago,A: Annual,2024,5,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),3: Natural Increase,LGA2025: Local Government Areas (2025),71700: Groote Archipelago,A: Annual,2025,-1,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),9: Net Overseas Migration,LGA2025: Local Government Areas (2025),24700: Merri-bek,A: Annual,2024,4931,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),9: Net Overseas Migration,LGA2025: Local Government Areas (2025),24700: Merri-bek,A: Annual,2025,3422,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),3: Natural Increase,LGA2025: Local Government Areas (2025),24700: Merri-bek,A: Annual,2024,985,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),3: Natural Increase,LGA2025: Local Government Areas (2025),24700: Merri-bek,A: Annual,2025,1267,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),6: Net Internal Migration,LGA2025: Local Government Areas (2025),71700: Groote Archipelago,A: Annual,2024,30,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),6: Net Internal Migration,LGA2025: Local Government Areas (2025),71700: Groote Archipelago,A: Annual,2025,42,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),3: Natural Increase,LGA2025: Local Government Areas (2025),20910: Bayside (Vic.),A: Annual,2024,-93,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),3: Natural Increase,LGA2025: Local Government Areas (2025),20910: Bayside (Vic.),A: Annual,2025,-65,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),6: Net Internal Migration,LGA2025: Local Government Areas (2025),10050: Albury,A: Annual,2024,309,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),6: Net Internal Migration,LGA2025: Local Government Areas (2025),10050: Albury,A: Annual,2025,335,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),6: Net Internal Migration,LGA2025: Local Government Areas (2025),71500: East Arnhem,A: Annual,2024,-90,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),6: Net Internal Migration,LGA2025: Local Government Areas (2025),71500: East Arnhem,A: Annual,2025,-73,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),6: Net Internal Migration,LGA2025: Local Government Areas (2025),24700: Merri-bek,A: Annual,2024,-907,PSNS: Persons,,
ABS:ERP_COMP_LGA2025(1.0.0),6: Net Internal Migration,LGA2025: Local Government Areas (2025),24700: Merri-bek,A: Annual,2025,-1067,PSNS: Persons,,
