DATAFLOW,MEASURE: Data Item,REGIONTYPE: Region Type,LGA_2021: Region,FREQUENCY: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_2: Number of established house transfers (no.),LGA2021: Local Government Areas (2021),10050: Albury,A: Annual,2023,872,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),BUILDING_4: Building approvals:Total dwelling units (no.),LGA2021: Local Government Areas (2021),25250: Moreland,A: Annual,2024,899,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),BUILDING_4: Building approvals:Total dwelling units (no.),LGA2021: Local Government Areas (2021),25250: Moreland,A: Annual,2023,1679,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_5: Median price of attached dwelling transfers ($),LGA2021: Local Government Areas (2021),25250: Moreland,A: Annual,2024,590500,AUD: Australian Dollars,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_5: Median price of attached dwelling transfers ($),LGA2021: Local Government Areas (2021),25250: Moreland,A: Annual,2023,580000,AUD: Australian Dollars,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_2: Number of established house transfers (no.),LGA2021: Local Government Areas (2021),20910: Bayside (Vic.),A: Annual,2023,928,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_5: Median price of attached dwelling transfers ($),LGA2021: Local Government Areas (2021),10050: Albury,A: Annual,2024,330000,AUD: Australian Dollars,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_5: Median price of attached dwelling transfers ($),LGA2021: Local Government Areas (2021),10050: Albury,A: Annual,2023,334000,AUD: Australian Dollars,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_2: Number of established house transfers (no.),LGA2021: Local Government Areas (2021),25250: Moreland,A: Annual,2023,1348,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_4: Number of attached dwelling transfers (no.),LGA2021: Local Government Areas (2021),25250: Moreland,A: Annual,2023,1915,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),BUILDING_4: Building approvals:Total dwelling units (no.),LGA2021: Local Government Areas (2021),71300: East Arnhem,A: Annual,2024,18,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),BUILDING_4: Building approvals:Total dwelling units (no.),LGA2021: Local Government Areas (2021),71300: East Arnhem,A: Annual,2023,10,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_2: Number of established house transfers (no.),LGA2021: Local Government Areas (2021),10050: Albury,A: Annual,2024,947,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_2: Number of established house transfers (no.),LGA2021: Local Government Areas (2021),20910: Bayside (Vic.),A: Annual,2024,1064,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_2: Number of established house transfers (no.),LGA2021: Local Government Areas (2021),25250: Moreland,A: Annual,2024,1491,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_4: Number of attached dwelling transfers (no.),LGA2021: Local Government Areas (2021),25250: Moreland,A: Annual,2024,2374,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_4: Number of attached dwelling transfers (no.),LGA2021: Local Government Areas (2021),20910: Bayside (Vic.),A: Annual,2024,1207,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_4: Number of attached dwelling transfers (no.),LGA2021: Local Government Areas (2021),20910: Bayside (Vic.),A: Annual,2023,935,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_3: Median price of established house transfers ($),LGA2021: Local Government Areas (2021),25250: Moreland,A: Annual,2024,1077250,AUD: Australian Dollars,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_3: Median price of established house transfers ($),LGA2021: Local Government Areas (2021),25250: Moreland,A: Annual,2023,1050000,AUD: Australian Dollars,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),BUILDING_4: Building approvals:Total dwelling units (no.),LGA2021: Local Government Areas (2021),20910: Bayside (Vic.),A: Annual,2024,881,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),BUILDING_4: Building approvals:Total dwelling units (no.),LGA2021: Local Government Areas (2021),20910: Bayside (Vic.),A: Annual,2023,715,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_3: Median price of established house transfers ($),LGA2021: Local Government Areas (2021),20910: Bayside (Vic.),A: Annual,2024,2310000,AUD: Australian Dollars,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_3: Median price of established house transfers ($),LGA2021: Local Government Areas (2021),20910: Bayside (Vic.),A: Annual,2023,2250000,AUD: Australian Dollars,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_5: Median price of attached dwelling transfers ($),LGA2021: Local Government Areas (2021),20910: Bayside (Vic.),A: Annual,2024,995000,AUD: Australian Dollars,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_5: Median price of attached dwelling transfers ($),LGA2021: Local Government Areas (2021),20910: Bayside (Vic.),A: Annual,2023,1060000,AUD: Australian Dollars,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),BUILDING_4: Building approvals:Total dwelling units (no.),LGA2021: Local Government Areas (2021),10050: Albury,A: Annual,2024,360,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),BUILDING_4: Building approvals:Total dwelling units (no.),LGA2021: Local Government Areas (2021),10050: Albury,A: Annual,2023,411,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_4: Number of attached dwelling transfers (no.),LGA2021: Local Government Areas (2021),10050: Albury,A: Annual,2023,293,NUM: Number,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_3: Median price of established house transfers ($),LGA2021: Local Government Areas (2021),10050: Albury,A: Annual,2024,600000,AUD: Australian Dollars,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_3: Median price of established house transfers ($),LGA2021: Local Government Areas (2021),10050: Albury,A: Annual,2023,555000,AUD: Australian Dollars,,,
ABS:ABS_REGIONAL_LGA2021(1.6.0),HOUSES_4: Number of attached dwelling transfers (no.),LGA2021: Local Government Areas (2021),10050: Albury,A: Annual,2024,302,NUM: Number,,,
